sl_no,project_name,agency,project_code,state,ministry,sector,approval_mm_yyyy,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cr,physical_progress_pct,report_period,cost_overrun_pct,time_overrun_months,planned_duration_months
1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,03/2023,01/2026,07/2026,265.91,265.91,153.62,75.0,2026-06,0.0,6.0,34
2,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,06/2020,09/2022,10/2026,611.8,611.8,527.74,88.25,2026-06,0.0,49.0,27
3,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,12/2022,08/2025,06/2026,347.15,347.15,189.48,94.5,2026-06,0.0,10.0,32
4,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,Assam,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,12/2016,03/2025,06/2026,1712.0,2520.0,2660.15,99.3,2026-06,47.1963,15.0,99
5,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,08/2024,03/2027,-,1413.0,1413.0,9.56,2.86,2026-06,0.0,,31
6,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,07/2024,07/2026,11/2026,911.66,911.66,400.62,69.8,2026-06,0.0,4.0,24
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,10/2018,05/2026,08/2026,1216.9,1216.9,1202.07,99.19,2026-06,0.0,3.0,91
8,Development of Keshod Airport.,Airport Authority of India [AAI],619054,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,01/2024,01/2027,-,363.1,363.1,102.3,41.5,2026-06,0.0,,36
9,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,06/2022,06/2026,06/2026,1305.0,1551.0,949.24,87.0,2026-06,18.8506,0.0,48
10,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu. (Airport Authority of India [AAI]) (611047) (-) (-) Jammu and Kashmir 10/2023 (12/2023) 06/2026 (11/2026) 861.37 (861.37) 353.54 55.35 11 Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport",Airport Authority of India [AAI],612787,Karnataka,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,06/2023,01/2026,06/2026,320.47,320.47,160.21,85.0,2026-06,0.0,5.0,31
12,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,Karnataka,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,06/2023,02/2026,06/2026,322.45,322.45,220.72,95.0,2026-06,0.0,4.0,32
13,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,Kerala,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,06/2023,09/2025,12/2026,484.57,484.57,227.5,64.5,2026-06,0.0,15.0,27
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,07/2018,09/2021,07/2026,480.0,640.0,509.41,83.4,2026-06,33.3333,58.0,38
15,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,Manipur,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,11/2021,07/2024,12/2026,499.0,499.0,206.83,52.64,2026-06,0.0,29.0,32
